TAG,SPECIES,DBH,HEIGHT,L,MAXR,X,Y,Z,UTM_X,UTM_Y
1,TSHE,24.5,22.4,17.7,3.5,316.7,200.7,375.3,581426.7,5074521.7
5,TSHE,26.0,23.4,18.6,3.6,312.9,204.6,375.5,581422.9,5074525.6
7,TSHE,22.5,21.0,16.4,3.5,309.8,208.1,375.4,581419.8,5074529.1
8,TABR,8.4,5.3,2.9,2.6,302.7,212.9,375.3,581412.7,5074533.9
9,THPL,126.7,46.1,28.2,4.9,301.1,213.3,375.4,581411.1,5074534.3
10,TSHE,29.0,25.4,20.4,3.7,304.9,212.2,375.3,581414.9,5074533.2
11,TSHE,70.2,44.1,34.9,6.1,314.1,207.6,375.1,581424.1,5074528.6
12,TSHE,6.5,7.8,4.2,2.9,302.1,217.3,375.3,581412.1,5074538.3
13,TSHE,15.0,15.3,11.2,3.2,321.3,203.3,375.2,581431.3,5074524.3
16,TABR,10.7,2.4,0.2,2.7,307.7,214.4,375.3,581417.7,5074535.4
20,TSHE,52.5,37.6,30.6,4.9,311.4,214.2,375.3,581421.4,5074535.2
21,TSHE,32.5,27.5,22.3,3.9,308.2,221.8,375.0,581418.2,5074542.8
22,TSHE,55.0,38.7,31.4,5.1,311.0,218.9,375.0,581421.0,5074539.9
23,TSHE,6.5,7.8,4.2,2.9,309.4,223.4,374.9,581419.4,5074544.4
24,TSHE,8.1,9.3,5.6,2.9,318.8,208.7,375.0,581428.8,5074529.7
25,TSHE,8.2,9.4,5.7,2.9,319.2,209.0,374.9,581429.2,5074530.0
26,TSHE,12.3,13.0,9.1,3.1,319.4,210.7,374.7,581429.4,5074531.7
27,TSHE,28.5,25.0,20.1,3.7,324.3,201.7,375.3,581434.3,5074522.7
29,TSHE,17.4,17.2,13.0,3.2,320.2,213.7,375.3,581430.2,5074534.7
31,TSHE,17.1,16.9,12.7,3.2,317.7,221.9,374.8,581427.7,5074542.9
32,TSHE,6.9,8.2,4.6,2.9,322.0,211.0,374.6,581432.0,5074532.0
33,TSHE,69.0,43.7,34.7,6.0,320.5,215.8,375.2,581430.5,5074536.8
36,TSHE,13.8,14.3,10.3,3.1,309.3,225.2,374.9,581419.3,5074546.2
37,TSHE,79.5,46.7,36.3,6.8,302.3,225.4,375.2,581412.3,5074546.4
38,TABR,7.9,7.2,4.8,2.5,301.3,225.7,375.1,581411.3,5074546.7
39,TSHE,19.5,18.8,14.4,3.3,307.3,227.3,374.9,581417.3,5074548.3
40,PSME,144.5,55.7,29.4,5.8,320.5,226.3,374.9,581430.5,5074547.3
41,TSHE,23.0,21.3,16.8,3.5,309.9,229.0,375.1,581419.9,5074550.0
45,TABR,25.0,8.9,5.1,4.0,301.2,239.1,375.9,581411.2,5074560.1
46,TSHE,57.6,39.7,32.1,5.2,301.9,241.3,375.1,581411.9,5074562.3
