tree_x,tree_y,species,dbh
581426.716,5074521.662,TSHE,23.3
581415.452,5074523.828,ABGR,62.7
581411.407,5074525.371,TSHE,112.6
581421.654,5074525.866,ABGR,71.1
581422.893,5074525.554,TSHE,24.5
581422.506,5074525.716,TSHE,11.7
581419.829,5074529.119,TSHE,22.0
581412.69,5074533.881,TABR,7.8
581411.146,5074534.349,THPL,126.4
581414.9,5074533.231,TSHE,28.5
581424.112,5074528.596,TSHE,64.4
581412.062,5074538.304,TSHE,5.6
581431.329,5074524.32,TSHE,14.4
581429.186,5074525.981,PSME,86.3
581411.433,5074540.707,ABGR,47.9
581417.711,5074535.449,TABR,10.4
581412.663,5074542.048,ABGR,59.7
581426.056,5074529.465,TSHE,7.7
581427.69,5074528.922,ABGR,21.8
581421.378,5074535.185,TSHE,50.6
581418.185,5074542.781,TSHE,31.5
581420.982,5074539.887,TSHE,53.9
581419.431,5074544.35,TSHE,5.9
581428.812,5074529.696,TSHE,7.7
581429.167,5074529.971,TSHE,8.1
581429.43,5074531.711,TSHE,12.0
581434.292,5074522.654,TSHE,27.5
581429.535,5074535.555,NA'(,41.0
581430.174,5074534.714,TSHE,17.1
581432.771,5074528.423,PSME,17.8
581427.67,5074542.933,TSHE,16.4
581432.021,5074532.045,TSHE,6.5
581430.509,5074536.772,TSHE,67.4
581431.42,5074536.924,NA'(,58.7
581433.059,5074542.328,NA'(,55.5
581419.325,5074546.237,TSHE,13.6
581412.347,5074546.447,TSHE,77.9
581411.284,5074546.695,TABR,7.5
581417.265,5074548.255,TSHE,19.1
581430.476,5074547.305,PSME,144.0
581419.887,5074550.024,TSHE,22.2
581421.166,5074550.572,PSME,60.2
581412.25,5074557.416,THPL,11.0
581410.98,5074560.043,TABR,5.0
581411.175,5074560.074,TABR,24.3
581411.868,5074562.298,TSHE,56.1
581421.918,5074555.263,TSHE,7.0
581432.734,5074547.703,TSHE,42.1
581432.559,5074547.897,TSHE,7.4
581427.696,5074555.569,TSHE,8.1
581427.235,5074556.333,THPL,22.7
581414.746,5074570.173,PSME,79.9
581416.763,5074569.431,TSHE,40.8
581423.111,5074565.671,PSME,77.8
581424.986,5074565.078,THPL,106.0
581428.399,5074558.891,ABGR,55.9
581425.77,5074569.906,TABR,5.3
581429.878,5074556.865,TSHE,10.7
581430.643,5074564.369,TSHE,13.1
581430.064,5074567.599,TABR,17.4
581432.441,5074563.833,PSME,126.4
581456.74,5074546.373,PSME,78.9
581455.149,5074546.345,PSME,75.1
581445.068,5074546.976,TSHE,5.4
581443.059,5074547.075,TSHE,5.2
581441.542,5074548.047,TSHE,13.6
581441.683,5074548.541,TABR,5.7
581441.905,5074549.515,TABR,21.5
581435.829,5074553.613,TSHE,11.0
581447.514,5074550.153,TABR,22.5
581451.141,5074548.99,TABR,22.8
581454.695,5074547.587,PSME,122.2
581435.902,5074559.49,TABR,6.2
581436.144,5074559.314,TABR,32.1
581440.65,5074557.345,ABGR,27.8
581445.162,5074555.449,THPL,9.1
581444.728,5074557.292,TSHE,70.0
581453.801,5074551.398,PSME,131.0
581457.902,5074548.777,TABR,6.3
581437.996,5074568.378,TSHE,11.2
581437.757,5074569.78,TSHE,18.1
581436.897,5074570.65,TSHE,7.3
581442.594,5074565.563,PSME,76.3
581445.172,5074564.669,PSME,108.7
581447.632,5074565.307,TABR,38.7
581454.889,5074555.12,TABR,31.7
