DBCODE,LOCATION_CODE,KEYWORD_NAME,WEST_BOUND_COORD_decdeg,EAST_BOUND_COORD_decdeg,NORTH_BOUND_COORD_decdeg,SOUTH_BOUND_COORD_decdeg,ELEVATION_MAX_meters,ELEVATION_MIN_meters,SLOPE_percent,ASPECT_degrees
TV010,RS01                     ,Reference Stand RS01; H.J. Andrews EF; Willamette NF        ,-122.25882057,-122.25694806,44.20296850,44.20177046,559,453,61.71,163
TV010,RS02                     ,Reference Stand RS02; H.J. Andrews EF; Willamette NF        ,-122.24405016,-122.24250891,44.21869615,44.21758772,535,468,32.90,237
TV010,RS03                     ,Reference Stand RS03; H.J. Andrews EF; Willamette NF        ,-122.15980373,-122.15787403,44.25917739,44.25819622,987,956,24.35,195
TV010,RS04                     ,Reference Stand RS04; H.J. Andrews EF; Willamette NF        ,-122.13769081,-122.13682229,44.27336726,44.27274323,1312,1276,43.61,278
TV010,RS05                     ,Reference Stand RS05; H.J. Andrews EF; Willamette NF        ,-122.20296608,-122.20296608,44.22183496,44.22183496,908,908,2.76,95
TV010,RS07                     ,Reference Stand RS07; H.J. Andrews EF; Willamette NF        ,-122.25040993,-122.24956136,44.21428064,44.21367034,510,463,67.97,279
TV010,RS08                     ,Reference Stand RS08; H.J. Andrews EF; Willamette NF        ,-122.25695385,-122.25627083,44.20207348,44.20158214,545,493,76.82,268
TV010,RS12                     ,Reference Stand RS12; H.J. Andrews EF; Willamette NF        ,-122.12215555,-122.12127180,44.22728027,44.22664480,991,970,26.64,213
TV010,RS13                     ,Reference Stand RS13; Wildcat Mtn RNA; Willamette NF        ,-122.12300000,-122.12300000,44.34400000,44.34400000,,,,
TV010,RS14                     ,Reference Stand RS14; Wildcat Mtn RNA; Willamette NF        ,-122.09452900,-122.09452900,44.32745400,44.32745400,,,,
TV010,RS15                     ,Reference Stand RS15; H.J. Andrews EF; Willamette NF        ,-122.23947584,-122.23947584,44.20940908,44.20940908,735,735,47.38,338
TV010,RS16                     ,Reference Stand RS16; H.J. Andrews EF; Willamette NF        ,-122.24292582,-122.24212024,44.21264655,44.21206714,691,635,56.99,202
TV010,RS17                     ,Reference Stand RS17; H.J. Andrews EF; Willamette NF        ,-122.24119304,-122.24043055,44.22069115,44.22014281,532,508,27.74,41
TV010,RS18                     ,Reference Stand RS18; H.J. Andrews EF; Willamette NF        ,-122.15937238,-122.15864178,44.24684301,44.24631784,1106,1080,43.99,162
TV010,RS20                     ,Reference Stand RS20; H.J. Andrews EF; Willamette NF        ,-122.25048522,-122.25048522,44.22179408,44.22179408,706,706,95.12,165
TV010,RS24                     ,Reference Stand RS24; Hagan Block RNA; Willamette NF        ,-122.42388664,-122.42388664,44.17229527,44.17229527,,,,
TV010,RS26                     ,Reference Stand RS26; H.J. Andrews EF; Willamette NF        ,-122.17459934,-122.17310628,44.26819286,44.26712000,1058,1009,36.92,111
TV010,RS35                     ,Reference Stand RS35; Hagan Creek; Willamette NF            ,-122.43270000,-122.43270000,44.16920000,44.16920000,,,,
TV010,RS38                     ,Reference Stand RS38; H.J. Andrews EF; Willamette NF        ,-122.22386317,-122.22126811,44.22958414,44.22778050,559,524,17.54,29
TV010,CH14                     ,Reference Stand CH14; Cascade Head EF; Douglas-fir          ,-123.91830000,-123.91830000,45.04170000,45.04170000,139,139,,
TV010,CH41                     ,Reference Stand CH41; Cascade Head EF; Douglas-fir          ,-123.92020000,-123.92020000,45.03130000,45.03130000,120,120,,
TV010,CH42                     ,Reference Stand CH42; Cascade Head EF; Douglas-fir          ,-123.92160000,-123.92160000,45.03180000,45.03180000,119,119,,
TV010,GP01                     ,Reference Stand GP01; Camp Creek; Gifford Pinchot NF        ,-121.85991980,-121.85991980,46.45622375,46.45622375,,,,
TV010,GP02                     ,Reference Stand GP02; Camp Creek; Gifford Pinchot NF        ,-121.86219500,-121.86219500,46.45647800,46.45647800,,,,
TV010,GP03                     ,Reference Stand GP03; Camp Creek; Gifford Pinchot NF        ,-121.86141303,-121.86141303,46.45767858,46.45767858,,,,
TV010,GP04                     ,Reference Stand GP04; Camp Creek; Gifford Pinchot NF        ,-121.85734300,-121.85734300,46.45533900,46.45533900,,,,
TV010,GP05                     ,Reference Stand GP05; Camp Creek; Gifford Pinchot NF        ,-121.84305201,-121.84305201,46.44536268,46.44536268,,,,
TV010,GP07                     ,Reference Stand GP07; Kiona Creek; Gifford Pinchot NF       ,-121.97145472,-121.97145472,46.55019331,46.55019331,,,,
TV010,GP09                     ,Reference Stand GP09; Kiona Creek; Gifford Pinchot NF       ,-121.98204233,-121.98204233,46.55183599,46.55183599,,,,
TV010,MH01                     ,Reference Stand MH01; Still Creek; Mount Hood NF            ,-121.90629496,-121.90629496,45.30695949,45.30695949,592,592,,
TV010,MH02                     ,Reference Stand MH02; Still Creek; Mount Hood NF            ,-121.90722288,-121.90722288,45.30713040,45.30713040,,,,
TV010,MH03                     ,Reference Stand MH03; Still Creek; Mount Hood NF            ,-121.90599428,-121.90599428,45.30917196,45.30917196,,,,
TV010,MUNA                     ,Reference Stand MUNA; T. T. Munger RNA; Gifford Pinchot NF  ,-121.97039300,-121.97039300,45.82827700,45.82827700,,,,
TV010,OL01                     ,Reference Stand OL01; Quilcene; WA; Olympic NF              ,-122.92226111,-122.92226111,47.79385277,47.79385277,186,186,,
TV010,OL02                     ,Reference Stand OL02; Quilcene; WA; Olympic NF              ,-122.92276388,-122.92276388,47.79351666,47.79351666,186,186,,
TV010,OL03                     ,Reference Stand OL03; Blyn; WA; Olympic NF                  ,-123.00581900,-123.00581900,47.99045300,47.99045300,,,,
TV010,OL04                     ,Reference Stand OL04; Blyn; WA; Olympic NF                  ,-123.00442123,-123.00442123,47.98912372,47.98912372,,,,
TV010,SI04                     ,Reference Stand SI04; Deadwood Creek; Siuslaw NF            ,-123.71207700,-123.71207700,44.20815400,44.20815400,,,,
TV010,SI05                     ,Reference Stand SI05; Deadwood Creek; Siuslaw NF            ,-123.71207700,-123.71207700,44.20233400,44.20233400,,,,
TV010,SI06                     ,Reference Stand SI06; Saddle Mtn; Siuslaw NF                ,-123.97010100,-123.97010100,44.16262900,44.16262900,,,,
TV010,SI07                     ,Reference Stand SI07; Saddle Mtn; Siuslaw NF                ,-123.96997000,-123.96997000,44.16310200,44.16310200,,,,
TV010,SI08                     ,Reference Stand SI08; Saddle Mtn; Siuslaw NF                ,-123.96984000,-123.96984000,44.16366000,44.16366000,,,,
TV010,SI09                     ,Reference Stand SI09; Five Rivers; Siuslaw NF               ,-123.77800000,-123.77800000,44.25300000,44.25300000,,,,
TV010,SI10                     ,Reference Stand SI10; Five Rivers; Siuslaw NF               ,-123.77300000,-123.77300000,44.25200000,44.25200000,,,,
TV010,SI20                     ,Reference Stand SI20; Cook sale check plot; Siuslaw NF      ,,,,,,,,
TV010,SN01                     ,Reference Stand SN01; Skate Creek; Snoqualmie NF            ,-121.80328000,-121.80328000,46.69604700,46.69604700,,,,
TV010,SN02                     ,Reference Stand SN02; Skate Creek; Snoqualmie NF            ,-121.80227100,-121.80227100,46.69669200,46.69669200,,,,
TV010,WI01                     ,Reference Stand WI01; Lowell RD; Willamette NF; stand 1     ,-122.61918283,-122.61918283,43.81934359,43.81934359,,,,
TV010,WI02                     ,Reference Stand WI02; Lowell RD; Willamette NF; stand 2     ,-122.62248185,-122.62248185,43.81679745,43.81679745,,,,
TV010,WI03                     ,Reference Stand WI03; Lowell RD; Willamette NF; stand 3     ,-122.62015660,-122.62015660,43.82070644,43.82070644,,,,
TV010,WI05                     ,Reference Stand WI05; Salmon Creek; Willamette NF           ,-121.87019637,-121.87019637,45.84019625,45.84019625,,,,
TV010,WR02                     ,Reference Stand WR02; Wind River EF; Gifford Pinchot NF     ,-121.90628000,-121.90628000,45.87738000,45.87738000,,,,
TV010,WR04                     ,Reference Stand WR04; Panther Cr; Wind River EF; GPinchot NF,-121.86768530,-121.86768530,45.82630903,45.82630903,338,338,,
TV010,WR05                     ,Reference Stand WR05; Panther Cr; Wind River EF; GPinchot NF,-121.87017944,-121.87017944,45.84017138,45.84017138,367,367,,
TV010,WR09                     ,Reference Stand WR09; Wind River EF; Gifford Pinchot NF     ,-121.90429900,-121.90429900,45.87738000,45.87738000,,,,
TV010,WR90                     ,Reference Stand WR90; Panther Cr; Wind River EF; GPinchot NF,-121.86908101,-121.86908101,45.82630305,45.82630305,317,317,,
TV010,CH01                     ,Reference Stand CH01; Cascade Head EF; hemlock-spruce       ,-123.89730000,-123.89730000,45.04560000,45.04560000,298,298,,
TV010,CH03                     ,Reference Stand CH03; Cascade Head EF; hemlock-spruce       ,-123.90400156,-123.90400156,45.04565431,45.04565431,243,243,,
TV010,CH04                     ,Reference Stand CH04; Cascade Head EF; hemlock-spruce       ,-123.94127806,-123.94127806,45.06476948,45.06476948,,,,
TV010,CH05                     ,Reference Stand CH05; Cascade Head EF; hemlock-spruce       ,-123.94230324,-123.94230324,45.06531912,45.06531912,244,244,,
TV010,CH06                     ,Reference Stand CH06; Cascade Head EF; hemlock-spruce       ,-123.93909079,-123.93909079,45.06151088,45.06151088,,,,
TV010,CH07                     ,Reference Stand CH07; Cascade Head EF; hemlock-spruce       ,-123.93978362,-123.93978362,45.06271141,45.06271141,,,,
TV010,CH08                     ,Reference Stand CH08; Cascade Head EF; hemlock-spruce       ,-123.94526370,-123.94526370,45.06460149,45.06460149,244,244,,
TV010,CH09                     ,Reference Stand CH09; Cascade Head EF; hemlock-spruce       ,-123.99604700,-123.99604700,45.05883900,45.05883900,,,,
TV010,CH10                     ,Reference Stand CH10; Cascade Head EF; hemlock-spruce       ,-123.99172777,-123.99172777,45.06310277,45.06310277,279,279,,
TV010,CH12                     ,Reference Stand CH12; Cascade Head EF; hemlock-spruce       ,-123.90120006,-123.90120006,45.04999731,45.04999731,243,243,,
TV010,CH13                     ,Reference Stand CH13; Cascade Head EF; hemlock-spruce       ,-123.90175355,-123.90175355,45.05128019,45.05128019,247,247,,
TV010,HR01                     ,Reference Stand HR01; South Fork Hoh River; Olympic NP      ,-123.91819273,-123.91819273,47.78499903,47.78499903,245,245,0.00,
TV010,HR02                     ,Reference Stand HR02; South Fork Hoh River; Olympic NP      ,-123.91819273,-123.91819273,47.78499903,47.78499903,245,245,0.00,
TV010,HR03                     ,Reference Stand HR03; South Fork Hoh River; Olympic NP      ,-123.90572570,-123.90572570,47.78051829,47.78051829,250,250,0.00,
TV010,HR04                     ,Reference Stand HR04; South Fork Hoh River; Olympic NP      ,-123.90572570,-123.90572570,47.78051829,47.78051829,250,250,0.00,
TV010,HS01                     ,Reference Stand HS01; Neskowin Crest RNA; Siuslaw NF        ,-123.99288100,-123.99288100,45.08145600,45.08145600,,,,
TV010,HS02                     ,Reference Stand HS02; Quinault RNA; Olympic NP              ,-123.87450473,-123.87450473,47.42708879,47.42708879,,,,
TV010,HS03                     ,Reference Stand HS03; Quinault RNA; Olympic NP              ,-123.87581879,-123.87581879,47.42796958,47.42796958,,,,
TV010,HS04                     ,Reference Stand HS04; Twin Creek RNA; Olympic NP            ,-123.98154038,-123.98154038,47.83556885,47.83556885,,,,
TV010,NCNA                     ,Reference Stand NCNA; Neskowin Crest RNA; Siuslaw NF        ,-123.97810000,-123.97810000,45.07760000,45.07760000,278,278,,
TV010,HGBK                     ,Reference Watershed HGBK; Hagan RNA; Willamette NF                                                  ,-122.41884666,-122.41884666,44.18318777,44.18318777,653,653,,
TV010,WS02                     ,Reference Watershed  WS02; H.J. Andrews EF; Willamette NF                                           ,-122.25594700,-122.23466500,44.21823402,44.20645849,1003,460,67.77,
TV010,SP06                     ,Reference Stand SP06; Santiam Pass; Willamette NF           ,-121.85207267,-121.85207267,44.42195227,44.42195227,,,,
TV010,TCTR                     ,Reference Stand TCTR; Torrey-Charlton RNA; Willamette NF    ,-121.98988694,-121.98988694,43.76596138,43.76596138,1726,1726,,
TV010,CFMF                     ,Reference Stand CFMF; Cedar Flats Research Natural Area     ,-122.00632100,-122.00632100,46.10399900,46.10399900,,,,
TV010,BLNF                     ,Reference Stand BLNF; Blue Lake; Gifford Pinchot NF         ,-122.25800000,-122.25800000,46.17700000,46.17700000,,,,
TV010,BPNF                     ,Reference Stand BPNF; Benson Plateau; Mount Hood NF         ,-121.85033100,-121.85033100,45.64166800,45.64166800,,,,
TV010,CMNF                     ,Reference Stand CMNF; Carpenter Mtn; Blue R; Willamette NF  ,-122.15757248,-122.15757248,44.27505533,44.27505533,1358,1358,,
TV010,GMNF                     ,Reference Stand GMNF; Goat Marsh RNA; Gifford Pinchot NF    ,-122.27548379,-122.27548379,46.17465620,46.17465620,952,952,,
